timestamp,epoch,step,train_loss,eval_loss,learning_rate,epoch_time,total_time
2025-06-15 14:05:06,0.12,1,N/A,N/A,5e-06,24.43,24.43
2025-06-15 14:06:19,0.62,5,N/A,N/A,2.5e-05,97.97,97.97
2025-06-15 14:07:49,1.25,10,N/A,N/A,5e-05,150.30,187.87
2025-06-15 14:09:27,1.88,15,N/A,N/A,7.500000000000001e-05,152.24,286.21
2025-06-15 14:10:57,2.50,20,N/A,N/A,0.0001,150.17,375.43
2025-06-15 14:12:34,3.12,25,N/A,N/A,9.772727272727274e-05,151.54,472.81
2025-06-15 14:14:02,3.75,30,N/A,N/A,9.545454545454546e-05,149.58,560.91
2025-06-15 14:15:39,4.38,35,N/A,N/A,9.318181818181818e-05,150.20,657.86
2025-06-15 14:17:07,5.00,40,N/A,N/A,9.090909090909092e-05,149.28,746.38
2025-06-15 14:18:46,5.62,45,N/A,N/A,8.863636363636364e-05,150.37,845.07
2025-06-15 14:20:13,6.25,50,N/A,N/A,8.636363636363637e-05,149.18,932.40
2025-06-15 14:20:26,6.25,50,N/A,1.0628026723861694,N/A,151.23,945.16
2025-06-15 14:22:04,6.88,55,N/A,N/A,8.40909090909091e-05,151.59,1042.92
2025-06-15 14:23:31,7.50,60,N/A,N/A,8.181818181818183e-05,150.66,1129.94
2025-06-15 14:25:10,8.12,65,N/A,N/A,7.954545454545455e-05,151.29,1228.45
2025-06-15 14:26:38,8.75,70,N/A,N/A,7.727272727272727e-05,150.51,1316.99
2025-06-15 14:28:15,9.38,75,N/A,N/A,7.500000000000001e-05,150.78,1414.36
2025-06-15 14:29:44,10.00,80,N/A,N/A,7.272727272727273e-05,150.29,1502.93
2025-06-15 14:31:23,10.62,85,N/A,N/A,7.045454545454546e-05,150.86,1602.09
2025-06-15 14:32:50,11.25,90,N/A,N/A,6.818181818181818e-05,150.12,1688.83
2025-06-15 14:34:28,11.88,95,N/A,N/A,6.59090909090909e-05,150.42,1787.02
2025-06-15 14:35:56,12.50,100,N/A,N/A,6.363636363636364e-05,150.02,1875.19
2025-06-15 14:36:09,12.50,100,N/A,0.8700583577156067,N/A,151.04,1887.98
2025-06-15 14:37:46,13.12,105,N/A,N/A,6.136363636363636e-05,151.29,1984.97
2025-06-15 14:39:14,13.75,110,N/A,N/A,5.90909090909091e-05,150.75,2072.85
2025-06-15 14:40:52,14.38,115,N/A,N/A,5.6818181818181825e-05,150.99,2171.22
2025-06-15 14:42:20,15.00,120,N/A,N/A,5.4545454545454546e-05,150.58,2258.72
2025-06-15 14:43:58,15.62,125,N/A,N/A,5.2272727272727274e-05,150.88,2356.77
2025-06-15 14:45:26,16.25,130,N/A,N/A,5e-05,150.49,2445.40
2025-06-15 14:47:03,16.88,135,N/A,N/A,4.772727272727273e-05,150.59,2541.90
2025-06-15 14:48:31,17.50,140,N/A,N/A,4.545454545454546e-05,150.30,2630.21
2025-06-15 14:50:09,18.12,145,N/A,N/A,4.318181818181819e-05,150.56,2728.14
2025-06-15 14:51:37,18.75,150,N/A,N/A,4.0909090909090915e-05,150.18,2815.80
2025-06-15 14:51:50,18.75,150,N/A,0.8469192385673523,N/A,150.86,2828.61
2025-06-15 14:53:27,19.38,155,N/A,N/A,3.8636363636363636e-05,150.97,2925.81
2025-06-15 14:54:56,20.00,160,N/A,N/A,3.6363636363636364e-05,150.74,3014.80
2025-06-15 14:56:34,20.62,165,N/A,N/A,3.409090909090909e-05,150.95,3112.49
2025-06-15 14:58:02,21.25,170,N/A,N/A,3.181818181818182e-05,150.63,3200.79
2025-06-15 14:59:40,21.88,175,N/A,N/A,2.954545454545455e-05,150.78,3299.02
2025-06-15 15:01:09,22.50,180,N/A,N/A,2.7272727272727273e-05,150.57,3387.77
2025-06-15 15:02:46,23.12,185,N/A,N/A,2.5e-05,150.72,3484.71
2025-06-15 15:04:13,23.75,190,N/A,N/A,2.272727272727273e-05,150.40,3572.09
2025-06-15 15:05:52,24.38,195,N/A,N/A,2.0454545454545457e-05,150.59,3671.26
2025-06-15 15:07:21,25.00,200,N/A,N/A,1.8181818181818182e-05,150.39,3759.77
2025-06-15 15:07:34,25.00,200,N/A,0.8336045145988464,N/A,150.90,3772.62
2025-06-15 15:09:12,25.62,205,N/A,N/A,1.590909090909091e-05,151.09,3871.01
2025-06-15 15:10:40,26.25,210,N/A,N/A,1.3636363636363637e-05,150.83,3959.16
2025-06-15 15:12:18,26.88,215,N/A,N/A,1.1363636363636365e-05,150.91,4056.54
2025-06-15 15:13:45,27.50,220,N/A,N/A,9.090909090909091e-06,150.67,4143.44
2025-06-15 15:15:23,28.12,225,N/A,N/A,6.818181818181818e-06,150.84,4241.76
2025-06-15 15:16:51,28.75,230,N/A,N/A,4.5454545454545455e-06,150.60,4329.68
2025-06-15 15:18:30,29.38,235,N/A,N/A,2.2727272727272728e-06,150.74,4428.70
2025-06-15 15:19:58,30.00,240,N/A,N/A,0.0,150.56,4516.70
2025-06-15 15:19:58,30.00,240,0.8573504209518432,N/A,N/A,150.56,4516.72
